corpus,query_format,k1,b,MRR@10
MTSamples,keyword,1.0,0.25,0.650733
MTSamples,keyword,1.0,0.5,0.662504
MTSamples,keyword,1.0,0.75,0.669575
MTSamples,keyword,1.0,1.0,0.672034
MTSamples,keyword,1.2,0.25,0.65029
MTSamples,keyword,1.2,0.5,0.660817
MTSamples,keyword,1.2,0.75,0.669469
MTSamples,keyword,1.2,1.0,0.670881
MTSamples,keyword,1.5,0.25,0.646566
MTSamples,keyword,1.5,0.5,0.661974
MTSamples,keyword,1.5,0.75,0.673828
MTSamples,keyword,1.5,1.0,0.668334
MTSamples,keyword,2.0,0.25,0.642299
MTSamples,keyword,2.0,0.5,0.662738
MTSamples,keyword,2.0,0.75,0.669936
MTSamples,keyword,2.0,1.0,0.654645
MTSamples,natural_language,1.0,0.25,0.850769
MTSamples,natural_language,1.0,0.5,0.855089
MTSamples,natural_language,1.0,0.75,0.855467
MTSamples,natural_language,1.0,1.0,0.855078
MTSamples,natural_language,1.2,0.25,0.850521
MTSamples,natural_language,1.2,0.5,0.855322
MTSamples,natural_language,1.2,0.75,0.853189
MTSamples,natural_language,1.2,1.0,0.855597
MTSamples,natural_language,1.5,0.25,0.849419
MTSamples,natural_language,1.5,0.5,0.854941
MTSamples,natural_language,1.5,0.75,0.852194
MTSamples,natural_language,1.5,1.0,0.85293
MTSamples,natural_language,2.0,0.25,0.847777
MTSamples,natural_language,2.0,0.5,0.852791
MTSamples,natural_language,2.0,0.75,0.850127
MTSamples,natural_language,2.0,1.0,0.849544
PMC-Patients,keyword,1.0,0.25,0.887441
PMC-Patients,keyword,1.0,0.5,0.894555
PMC-Patients,keyword,1.0,0.75,0.891608
PMC-Patients,keyword,1.0,1.0,0.885507
PMC-Patients,keyword,1.2,0.25,0.885091
PMC-Patients,keyword,1.2,0.5,0.893021
PMC-Patients,keyword,1.2,0.75,0.887822
PMC-Patients,keyword,1.2,1.0,0.876973
PMC-Patients,keyword,1.5,0.25,0.879688
PMC-Patients,keyword,1.5,0.5,0.888186
PMC-Patients,keyword,1.5,0.75,0.880888
PMC-Patients,keyword,1.5,1.0,0.870023
PMC-Patients,keyword,2.0,0.25,0.877747
PMC-Patients,keyword,2.0,0.5,0.880677
PMC-Patients,keyword,2.0,0.75,0.867225
PMC-Patients,keyword,2.0,1.0,0.856922
PMC-Patients,natural_language,1.0,0.25,1.0
PMC-Patients,natural_language,1.0,0.5,1.0
PMC-Patients,natural_language,1.0,0.75,0.999
PMC-Patients,natural_language,1.0,1.0,0.999
PMC-Patients,natural_language,1.2,0.25,1.0
PMC-Patients,natural_language,1.2,0.5,1.0
PMC-Patients,natural_language,1.2,0.75,0.999
PMC-Patients,natural_language,1.2,1.0,0.999
PMC-Patients,natural_language,1.5,0.25,1.0
PMC-Patients,natural_language,1.5,0.5,1.0
PMC-Patients,natural_language,1.5,0.75,0.999
PMC-Patients,natural_language,1.5,1.0,0.999
PMC-Patients,natural_language,2.0,0.25,1.0
PMC-Patients,natural_language,2.0,0.5,1.0
PMC-Patients,natural_language,2.0,0.75,0.999
PMC-Patients,natural_language,2.0,1.0,0.998
Synthetic,keyword,1.0,0.25,0.266308
Synthetic,keyword,1.0,0.5,0.26799
Synthetic,keyword,1.0,0.75,0.267682
Synthetic,keyword,1.0,1.0,0.262101
Synthetic,keyword,1.2,0.25,0.265664
Synthetic,keyword,1.2,0.5,0.265694
Synthetic,keyword,1.2,0.75,0.263128
Synthetic,keyword,1.2,1.0,0.263363
Synthetic,keyword,1.5,0.25,0.264944
Synthetic,keyword,1.5,0.5,0.266044
Synthetic,keyword,1.5,0.75,0.265277
Synthetic,keyword,1.5,1.0,0.259757
Synthetic,keyword,2.0,0.25,0.264306
Synthetic,keyword,2.0,0.5,0.259122
Synthetic,keyword,2.0,0.75,0.259283
Synthetic,keyword,2.0,1.0,0.257438
Synthetic,natural_language,1.0,0.25,0.6369
Synthetic,natural_language,1.0,0.5,0.641036
Synthetic,natural_language,1.0,0.75,0.638706
Synthetic,natural_language,1.0,1.0,0.634558
Synthetic,natural_language,1.2,0.25,0.633517
Synthetic,natural_language,1.2,0.5,0.6378
Synthetic,natural_language,1.2,0.75,0.636144
Synthetic,natural_language,1.2,1.0,0.630708
Synthetic,natural_language,1.5,0.25,0.629733
Synthetic,natural_language,1.5,0.5,0.627458
Synthetic,natural_language,1.5,0.75,0.629339
Synthetic,natural_language,1.5,1.0,0.62949
Synthetic,natural_language,2.0,0.25,0.620157
Synthetic,natural_language,2.0,0.5,0.61761
Synthetic,natural_language,2.0,0.75,0.62244
Synthetic,natural_language,2.0,1.0,0.620863
