query_id,model,dataset,query_format,chunk_strategy,rank,reciprocal_rank
MTSamples_0,BioBERT,MTSamples,keyword,full,39,0.025641
MTSamples_1,BioBERT,MTSamples,keyword,full,49,0.020408
MTSamples_2,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_3,BioBERT,MTSamples,keyword,full,4,0.25
MTSamples_4,BioBERT,MTSamples,keyword,full,20,0.05
MTSamples_5,BioBERT,MTSamples,keyword,full,10,0.1
MTSamples_6,BioBERT,MTSamples,keyword,full,7,0.142857
MTSamples_7,BioBERT,MTSamples,keyword,full,62,0.016129
MTSamples_8,BioBERT,MTSamples,keyword,full,194,0.005155
MTSamples_9,BioBERT,MTSamples,keyword,full,15,0.066667
MTSamples_10,BioBERT,MTSamples,keyword,full,4,0.25
MTSamples_11,BioBERT,MTSamples,keyword,full,36,0.027778
MTSamples_12,BioBERT,MTSamples,keyword,full,14,0.071429
MTSamples_13,BioBERT,MTSamples,keyword,full,10,0.1
MTSamples_14,BioBERT,MTSamples,keyword,full,338,0.002959
MTSamples_15,BioBERT,MTSamples,keyword,full,164,0.006098
MTSamples_16,BioBERT,MTSamples,keyword,full,16,0.0625
MTSamples_17,BioBERT,MTSamples,keyword,full,19,0.052632
MTSamples_18,BioBERT,MTSamples,keyword,full,7,0.142857
MTSamples_19,BioBERT,MTSamples,keyword,full,3,0.333333
MTSamples_20,BioBERT,MTSamples,keyword,full,42,0.02381
MTSamples_21,BioBERT,MTSamples,keyword,full,63,0.015873
MTSamples_22,BioBERT,MTSamples,keyword,full,255,0.003922
MTSamples_23,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_24,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_25,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_26,BioBERT,MTSamples,keyword,full,482,0.002075
MTSamples_27,BioBERT,MTSamples,keyword,full,365,0.00274
MTSamples_28,BioBERT,MTSamples,keyword,full,29,0.034483
MTSamples_29,BioBERT,MTSamples,keyword,full,491,0.002037
MTSamples_30,BioBERT,MTSamples,keyword,full,10,0.1
MTSamples_31,BioBERT,MTSamples,keyword,full,55,0.018182
MTSamples_32,BioBERT,MTSamples,keyword,full,34,0.029412
MTSamples_33,BioBERT,MTSamples,keyword,full,19,0.052632
MTSamples_34,BioBERT,MTSamples,keyword,full,290,0.003448
MTSamples_35,BioBERT,MTSamples,keyword,full,68,0.014706
MTSamples_36,BioBERT,MTSamples,keyword,full,104,0.009615
MTSamples_37,BioBERT,MTSamples,keyword,full,3,0.333333
MTSamples_38,BioBERT,MTSamples,keyword,full,189,0.005291
MTSamples_39,BioBERT,MTSamples,keyword,full,344,0.002907
MTSamples_40,BioBERT,MTSamples,keyword,full,149,0.006711
MTSamples_41,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_42,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_43,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_44,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_45,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_46,BioBERT,MTSamples,keyword,full,12,0.083333
MTSamples_47,BioBERT,MTSamples,keyword,full,245,0.004082
MTSamples_48,BioBERT,MTSamples,keyword,full,69,0.014493
MTSamples_49,BioBERT,MTSamples,keyword,full,85,0.011765
MTSamples_50,BioBERT,MTSamples,keyword,full,102,0.009804
MTSamples_51,BioBERT,MTSamples,keyword,full,90,0.011111
MTSamples_52,BioBERT,MTSamples,keyword,full,13,0.076923
MTSamples_53,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_54,BioBERT,MTSamples,keyword,full,61,0.016393
MTSamples_55,BioBERT,MTSamples,keyword,full,308,0.003247
MTSamples_56,BioBERT,MTSamples,keyword,full,127,0.007874
MTSamples_57,BioBERT,MTSamples,keyword,full,4,0.25
MTSamples_58,BioBERT,MTSamples,keyword,full,105,0.009524
MTSamples_59,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_60,BioBERT,MTSamples,keyword,full,18,0.055556
MTSamples_61,BioBERT,MTSamples,keyword,full,21,0.047619
MTSamples_62,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_63,BioBERT,MTSamples,keyword,full,445,0.002247
MTSamples_64,BioBERT,MTSamples,keyword,full,23,0.043478
MTSamples_65,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_66,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_67,BioBERT,MTSamples,keyword,full,13,0.076923
MTSamples_68,BioBERT,MTSamples,keyword,full,4,0.25
MTSamples_69,BioBERT,MTSamples,keyword,full,46,0.021739
MTSamples_70,BioBERT,MTSamples,keyword,full,21,0.047619
MTSamples_71,BioBERT,MTSamples,keyword,full,335,0.002985
MTSamples_72,BioBERT,MTSamples,keyword,full,12,0.083333
MTSamples_73,BioBERT,MTSamples,keyword,full,42,0.02381
MTSamples_74,BioBERT,MTSamples,keyword,full,7,0.142857
MTSamples_75,BioBERT,MTSamples,keyword,full,254,0.003937
MTSamples_76,BioBERT,MTSamples,keyword,full,3,0.333333
MTSamples_77,BioBERT,MTSamples,keyword,full,32,0.03125
MTSamples_78,BioBERT,MTSamples,keyword,full,30,0.033333
MTSamples_79,BioBERT,MTSamples,keyword,full,48,0.020833
MTSamples_80,BioBERT,MTSamples,keyword,full,167,0.005988
MTSamples_81,BioBERT,MTSamples,keyword,full,2,0.5
MTSamples_82,BioBERT,MTSamples,keyword,full,216,0.00463
MTSamples_83,BioBERT,MTSamples,keyword,full,383,0.002611
MTSamples_84,BioBERT,MTSamples,keyword,full,33,0.030303
MTSamples_85,BioBERT,MTSamples,keyword,full,495,0.00202
MTSamples_86,BioBERT,MTSamples,keyword,full,1,1.0
MTSamples_87,BioBERT,MTSamples,keyword,full,21,0.047619
MTSamples_88,BioBERT,MTSamples,keyword,full,3,0.333333
