query_id,model,dataset,query_format,chunk_strategy,rank,reciprocal_rank
MTSamples_0,BM25,MTSamples,keyword,full,1,1.0
MTSamples_1,BM25,MTSamples,keyword,full,1,1.0
MTSamples_2,BM25,MTSamples,keyword,full,1,1.0
MTSamples_3,BM25,MTSamples,keyword,full,1,1.0
MTSamples_4,BM25,MTSamples,keyword,full,1,1.0
MTSamples_5,BM25,MTSamples,keyword,full,1,1.0
MTSamples_6,BM25,MTSamples,keyword,full,1,1.0
MTSamples_7,BM25,MTSamples,keyword,full,1,1.0
MTSamples_8,BM25,MTSamples,keyword,full,1,1.0
MTSamples_9,BM25,MTSamples,keyword,full,1,1.0
MTSamples_10,BM25,MTSamples,keyword,full,1,1.0
MTSamples_11,BM25,MTSamples,keyword,full,1,1.0
MTSamples_12,BM25,MTSamples,keyword,full,1,1.0
MTSamples_13,BM25,MTSamples,keyword,full,2,0.5
MTSamples_14,BM25,MTSamples,keyword,full,59,0.016949
MTSamples_15,BM25,MTSamples,keyword,full,1,1.0
MTSamples_16,BM25,MTSamples,keyword,full,2,0.5
MTSamples_17,BM25,MTSamples,keyword,full,1,1.0
MTSamples_18,BM25,MTSamples,keyword,full,2,0.5
MTSamples_19,BM25,MTSamples,keyword,full,1,1.0
MTSamples_20,BM25,MTSamples,keyword,full,1,1.0
MTSamples_21,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_22,BM25,MTSamples,keyword,full,229,0.004367
MTSamples_23,BM25,MTSamples,keyword,full,1,1.0
MTSamples_24,BM25,MTSamples,keyword,full,2,0.5
MTSamples_25,BM25,MTSamples,keyword,full,2,0.5
MTSamples_26,BM25,MTSamples,keyword,full,9,0.111111
MTSamples_27,BM25,MTSamples,keyword,full,1,1.0
MTSamples_28,BM25,MTSamples,keyword,full,1,1.0
MTSamples_29,BM25,MTSamples,keyword,full,484,0.002066
MTSamples_30,BM25,MTSamples,keyword,full,1,1.0
MTSamples_31,BM25,MTSamples,keyword,full,1,1.0
MTSamples_32,BM25,MTSamples,keyword,full,1,1.0
MTSamples_33,BM25,MTSamples,keyword,full,2,0.5
MTSamples_34,BM25,MTSamples,keyword,full,1,1.0
MTSamples_35,BM25,MTSamples,keyword,full,1,1.0
MTSamples_36,BM25,MTSamples,keyword,full,8,0.125
MTSamples_37,BM25,MTSamples,keyword,full,2,0.5
MTSamples_38,BM25,MTSamples,keyword,full,1,1.0
MTSamples_39,BM25,MTSamples,keyword,full,5,0.2
MTSamples_40,BM25,MTSamples,keyword,full,1,1.0
MTSamples_41,BM25,MTSamples,keyword,full,1,1.0
MTSamples_42,BM25,MTSamples,keyword,full,1,1.0
MTSamples_43,BM25,MTSamples,keyword,full,3,0.333333
