model,category,dataset,query_format,chunk_strategy,n_chunks,chunk_expansion,pooling,has_prefix,MRR@1,Recall@1,HitRate@1,MRR@5,Recall@5,HitRate@5,MRR@10,Recall@10,HitRate@10,MRR@20,Recall@20,HitRate@20,MRR@50,Recall@50,HitRate@50,MRR@100,Recall@100,HitRate@100,P@1,NDCG@10,MAP@10,MeanRank,MedianRank,IQR_lo,IQR_hi,Rank>50_pct,Rank>100_pct,MRR@10_lo,MRR@10_hi,len_tercile_boundaries,len_MRR@10_short,len_P@1_short,len_Recall@10_short,len_MedianRank_short,len_n_short,len_mean_len_short,len_MRR@10_medium,len_P@1_medium,len_Recall@10_medium,len_MedianRank_medium,len_n_medium,len_mean_len_medium,len_MRR@10_long,len_P@1_long,len_Recall@10_long,len_MedianRank_long,len_n_long,len_mean_len_long,lex_spearman_rho,lex_spearman_p,lex_pearson_r,lex_pearson_p,lex_mean_overlap,lex_MRR@10_low_overlap,lex_P@1_low_overlap,lex_n_low_overlap,lex_MRR@10_mid_overlap,lex_P@1_mid_overlap,lex_n_mid_overlap,lex_MRR@10_high_overlap,lex_P@1_high_overlap,lex_n_high_overlap,geom_anisotropy,geom_self_similarity,geom_isoscore,geom_effective_rank
BM25,Lexical Baseline,MTSamples,keyword,full,500,1.0,n/a,False,0.618,0.618,0.618,0.6843333333333332,0.788,0.788,0.6942357142857143,0.862,0.862,0.6973205679940974,0.906,0.906,0.6985966129934097,0.948,0.948,0.6988148109588024,0.962,0.962,0.618,0.7342729412993105,0.6942357142857143,12.864,1.0,1.0,4.0,5.2,3.8,0.6572288492063493,0.7305595634920634,"[297.33399999999995, 508.833]",0.7376984126984126,0.6586826347305389,0.8802395209580839,1.0,167.0,197.32934131736528,0.7166140753490151,0.6566265060240963,0.8493975903614458,1.0,166.0,391.09638554216866,0.6285286569717707,0.5389221556886228,0.8562874251497006,1.0,167.0,794.8203592814372,-0.5563306526198813,5.7150539915931234e-42,-0.19020353132141118,1.8556874812549403e-05,0.023151511067052426,0.3913007318695942,0.2994011976047904,167.0,0.7902849493210939,0.7048192771084337,166.0,0.9016966067864272,0.8502994011976048,167.0,,,,
BM25,Lexical Baseline,MTSamples,natural_language,full,500,1.0,n/a,False,0.856,0.856,0.856,0.8808333333333334,0.922,0.922,0.8830746031746031,0.938,0.938,0.8835329365079365,0.944,0.944,0.8840860402158228,0.96,0.96,0.8841668562795155,0.966,0.966,0.856,0.896393263980917,0.8830746031746031,12.156,1.0,1.0,1.0,4.0,3.4000000000000004,0.8574854365079365,0.9078474603174603,"[297.33399999999995, 508.833]",0.849001996007984,0.8203592814371258,0.9101796407185628,1.0,167.0,197.32934131736528,0.8765729585006694,0.8433734939759037,0.9397590361445783,1.0,166.0,391.09638554216866,0.9236099230111208,0.9041916167664671,0.9640718562874252,1.0,167.0,794.8203592814372,,,,,,,,,,,,,,,,,,
BM25,Lexical Baseline,PMC-Patients,keyword,full,500,1.0,n/a,False,0.838,0.838,0.838,0.8778333333333334,0.938,0.938,0.8808880952380953,0.96,0.96,0.8820954368730684,0.976,0.976,0.8826776069664368,0.992,0.992,0.8827853902116118,1.0,1.0,0.838,0.9001848117138516,0.8808880952380953,2.588,1.0,1.0,1.0,0.8,0.0,0.8530449404761905,0.9055077976190475,"[305.0, 495.16500000000013]",0.8973214285714286,0.8630952380952381,0.9642857142857143,1.0,168.0,208.53571428571428,0.9212121212121213,0.8848484848484849,0.9878787878787879,1.0,165.0,396.8727272727273,0.824515255203878,0.7664670658682635,0.9281437125748503,1.0,167.0,704.8383233532934,-0.3344449624639376,1.5660839285180333e-14,-0.20357390242278386,4.458097573705138e-06,0.01914203940677667,0.7558953521528372,0.688622754491018,167.0,0.9119047619047618,0.8674698795180723,166.0,0.9750499001996007,0.9580838323353293,167.0,,,,
BM25,Lexical Baseline,PMC-Patients,natural_language,full,500,1.0,n/a,False,0.998,0.998,0.998,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.998,0.9992618595071429,0.999,1.002,1.0,1.0,1.0,0.0,0.0,0.997,1.0,"[305.0, 495.16500000000013]",1.0,1.0,1.0,1.0,168.0,208.53571428571428,1.0,1.0,1.0,1.0,165.0,396.8727272727273,0.9970059880239521,0.9940119760479041,1.0,1.0,167.0,704.8383233532934,,,,,,,,,,,,,,,,,,
BM25,Lexical Baseline,Synthetic,keyword,full,500,1.0,n/a,False,0.166,0.166,0.166,0.2506333333333333,0.396,0.396,0.265502380952381,0.508,0.508,0.272702340255204,0.614,0.614,0.27781104658494177,0.772,0.772,0.27954192010674356,0.892,0.892,0.166,0.32301272101170675,0.265502380952381,33.642,10.0,2.0,46.0,22.8,10.8,0.23432277777777777,0.29635398809523805,"[289.0, 310.0]",0.2763773532668881,0.1686046511627907,0.5523255813953488,9.0,172.0,273.0348837209302,0.28392139988525533,0.19879518072289157,0.4819277108433735,12.5,166.0,300.28915662650604,0.23508230452674894,0.12962962962962962,0.4876543209876543,12.0,162.0,330.2098765432099,-0.4646259376390907,3.841775342533644e-28,-0.4196987589880566,9.392333896619661e-23,0.021358872458362526,0.14750933706816058,0.07058823529411765,170.0,0.20862511671335202,0.12941176470588237,170.0,0.4513020833333334,0.30625,160.0,,,,
BM25,Lexical Baseline,Synthetic,natural_language,full,500,1.0,n/a,False,0.52,0.52,0.52,0.6207333333333334,0.778,0.778,0.6297031746031746,0.842,0.842,0.6342535071911233,0.908,0.908,0.636983781420254,0.99,0.99,0.6371725951674473,1.0,1.0,0.52,0.6813466393754887,0.6297031746031746,5.89,1.0,1.0,4.0,1.0,0.0,0.5935410714285715,0.6667505753968254,"[289.0, 310.0]",0.6477736249538575,0.5290697674418605,0.9069767441860465,1.0,172.0,273.0348837209302,0.6521490724803979,0.536144578313253,0.8734939759036144,1.0,166.0,300.28915662650604,0.587517146776406,0.49382716049382713,0.7407407407407407,2.0,162.0,330.2098765432099,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,keyword,full,500,1.0,mean,False,0.09,0.09,0.09,0.15366666666666667,0.272,0.272,0.16542301587301586,0.362,0.362,0.17191708469549025,0.46,0.46,0.1767209247706184,0.604,0.604,0.1783536651039554,0.714,0.714,0.09,0.21183590682608502,0.16542301587301586,93.594,25.0,4.0,128.0,39.6,28.599999999999998,0.14182335317460318,0.1926997619047619,"[297.33399999999995, 508.833]",0.27021908563824737,0.16766467065868262,0.49101796407185627,12.0,167.0,197.32934131736528,0.11942292981449608,0.06626506024096386,0.29518072289156627,43.0,166.0,391.09638554216866,0.10635158254918735,0.03592814371257485,0.2994011976047904,34.0,167.0,794.8203592814372,-0.39721364267431536,2.4026783699860143e-20,-0.2878412592840977,5.3971681040475624e-11,0.023151511067052426,0.07207014542343883,0.041916167664670656,167.0,0.14817842799770511,0.05421686746987952,166.0,0.27591721319266227,0.17365269461077845,167.0,0.9500330090522766,0.982079029083252,0.9035305212030607,256.614013671875
BioBERT,Domain Encoder,MTSamples,natural_language,full,500,1.0,mean,False,0.218,0.218,0.218,0.2966,0.432,0.432,0.31046984126984123,0.53,0.53,0.3174293327587445,0.624,0.624,0.32154606684520787,0.754,0.754,0.32237983425979416,0.814,0.814,0.218,0.3627584496779469,0.31046984126984123,62.566,9.0,2.0,49.25,24.6,18.6,0.2777594841269841,0.3477416071428572,"[297.33399999999995, 508.833]",0.41229683490162533,0.31736526946107785,0.6407185628742516,5.0,167.0,197.32934131736528,0.23770797475616756,0.15060240963855423,0.4457831325301205,16.5,166.0,391.09638554216866,0.2809690143522479,0.18562874251497005,0.5029940119760479,10.0,167.0,794.8203592814372,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,keyword,fixed_256,2158,4.32,mean,False,0.082,0.082,0.082,0.14026666666666665,0.256,0.256,0.15744523809523808,0.382,0.382,0.16576094317619086,0.5,0.5,0.17084373335519365,0.656,0.656,0.1726511140660614,0.78,0.78,0.082,0.2098937137572056,0.15744523809523808,106.522,20.5,5.0,83.5,34.4,22.0,0.1321284325396825,0.18477636904761904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,natural_language,fixed_256,2158,4.32,mean,False,0.31,0.31,0.31,0.3900333333333333,0.524,0.524,0.4062047619047619,0.644,0.644,0.4122563421013111,0.728,0.728,0.4151388083589388,0.82,0.82,0.4162066563493344,0.894,0.894,0.31,0.46239635055622297,0.4062047619047619,57.858,5.0,1.0,25.0,18.0,10.6,0.36851511904761913,0.44504605158730154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
